Date,Open,High,Low,Close,Adj Close,Volume
2018-06-26,336.049988,343.549988,325.799988,342.000000,342.000000,7452500
2018-06-27,345.000000,350.790009,339.500000,344.500000,344.500000,8333700
2018-06-28,348.660004,357.019989,346.109985,349.929993,349.929993,8398000
2018-06-29,353.329987,353.859985,342.410004,342.950012,342.950012,6492400
2018-07-02,360.070007,364.779999,329.850006,335.070007,335.070007,18759800
2018-07-03,331.750000,332.489990,309.690002,310.859985,310.859985,12282600
2018-07-05,313.760010,314.390015,296.220001,309.160004,309.160004,17476400
2018-07-06,304.950012,312.070007,302.000000,308.899994,308.899994,8865500
2018-07-09,311.989990,318.519989,308.000000,318.510010,318.510010,7596800
2018-07-10,324.559998,327.679993,319.200012,322.470001,322.470001,9471500
2018-07-11,315.799988,321.940002,315.070007,318.959991,318.959991,4884100
2018-07-12,321.429993,323.230011,312.769989,316.709991,316.709991,5721200
2018-07-13,315.579987,319.579987,309.250000,318.869995,318.869995,5869800
2018-07-16,311.709991,315.160004,306.250000,310.100006,310.100006,7818700
2018-07-17,308.809998,324.739990,308.500000,322.690002,322.690002,6996200
2018-07-18,325.000000,325.500000,316.250000,323.850006,323.850006,5624200
2018-07-19,316.329987,323.540009,314.010010,320.230011,320.230011,5915300
2018-07-20,321.230011,323.239990,311.709991,313.579987,313.579987,5162200
2018-07-23,301.839996,305.500000,292.859985,303.200012,303.200012,10992900
2018-07-24,304.420013,307.720001,292.549988,297.429993,297.429993,9590800
2018-07-25,296.739990,309.619995,294.500000,308.739990,308.739990,7075400
2018-07-26,304.850006,310.700012,303.640015,306.649994,306.649994,4630500
2018-07-27,307.250000,307.690002,295.339996,297.179993,297.179993,5703300
2018-07-30,295.899994,296.100006,286.130005,290.170013,290.170013,6814100
2018-07-31,292.250000,298.320007,289.070007,298.140015,298.140015,5076900
2018-08-01,297.989990,303.000000,293.000000,300.839996,300.839996,10129400
2018-08-02,328.440002,349.989990,323.160004,349.540009,349.540009,23215000
2018-08-03,347.809998,355.000000,342.529999,348.170013,348.170013,13656500
2018-08-06,345.459991,354.980011,341.820007,341.989990,341.989990,8564300
2018-08-07,343.839996,387.459991,339.149994,379.570007,379.570007,30875800
2018-08-08,369.089996,382.640015,367.119995,370.339996,370.339996,24571200
2018-08-09,365.549988,367.010010,345.730011,352.450012,352.450012,17103700
2018-08-10,354.000000,360.000000,346.000000,355.489990,355.489990,11552000
2018-08-13,361.130005,363.190002,349.019989,356.410004,356.410004,10450200
2018-08-14,358.450012,359.200012,347.100006,347.640015,347.640015,6986400
2018-08-15,341.910004,344.489990,332.140015,338.690002,338.690002,9101300
2018-08-16,339.910004,342.279999,333.820007,335.450012,335.450012,6064000
2018-08-17,323.500000,326.769989,303.529999,305.500000,305.500000,18958600
2018-08-20,291.700012,308.500000,288.200012,308.440002,308.440002,17402300
2018-08-21,310.609985,324.790009,309.000000,321.899994,321.899994,13172200
2018-08-22,320.869995,323.880005,314.670013,321.640015,321.640015,5946000
2018-08-23,319.140015,327.320007,318.100006,320.100006,320.100006,5147300
2018-08-24,320.700012,323.850006,319.399994,322.820007,322.820007,3602600
2018-08-27,318.000000,322.440002,308.809998,319.269989,319.269989,13079300
2018-08-28,318.410004,318.880005,311.190002,311.859985,311.859985,7649100
2018-08-29,310.269989,311.850006,303.690002,305.010010,305.010010,7447400
2018-08-30,302.260010,304.600006,297.720001,303.149994,303.149994,7216700
2018-08-31,302.000000,305.309998,298.600006,301.660004,301.660004,5375100
2018-09-04,296.940002,298.190002,288.000000,288.950012,288.950012,8350500
2018-09-05,285.049988,286.779999,277.179993,280.739990,280.739990,7720800
2018-09-06,284.799988,291.170013,278.880005,280.950012,280.950012,7480800
2018-09-07,260.100006,268.350006,252.250000,263.239990,263.239990,22491900
2018-09-10,273.260010,286.029999,271.000000,285.500000,285.500000,14283500
2018-09-11,279.470001,282.000000,273.549988,279.440002,279.440002,9170000
2018-09-12,281.440002,292.500000,278.649994,290.540009,290.540009,10015400
2018-09-13,288.019989,295.000000,285.179993,289.459991,289.459991,6340300
2018-09-14,288.760010,297.329987,286.519989,295.200012,295.200012,6765600
2018-09-17,290.040009,300.869995,288.130005,294.839996,294.839996,6887600
2018-09-18,296.690002,302.640015,275.500000,284.959991,284.959991,16547500
2018-09-19,280.510010,300.000000,280.500000,299.019989,299.019989,8294900
2018-09-20,303.559998,305.980011,293.329987,298.329987,298.329987,7349400
2018-09-21,297.700012,300.579987,295.369995,299.100006,299.100006,5050500
2018-09-24,298.480011,303.000000,293.579987,299.679993,299.679993,4843000
2018-09-25,300.000000,304.600006,296.500000,300.989990,300.989990,4481700
2018-09-26,301.910004,313.890015,301.109985,309.579987,309.579987,7843200
2018-09-27,312.899994,314.959991,306.910004,307.519989,307.519989,8509100
2018-09-28,270.260010,278.000000,260.559998,264.769989,264.769989,33649700
2018-10-01,305.769989,311.440002,301.049988,310.700012,310.700012,21777600
2018-10-02,313.950012,316.839996,299.149994,301.019989,301.019989,11743500
2018-10-03,303.329987,304.600006,291.570007,294.799988,294.799988,7995000
2018-10-04,293.950012,294.000000,277.670013,281.829987,281.829987,9814200
2018-10-05,274.649994,274.880005,260.000000,261.950012,261.950012,17944500
2018-10-08,264.519989,267.760010,249.000000,250.559998,250.559998,13472700
2018-10-09,255.250000,266.769989,253.300003,262.799988,262.799988,12060600
2018-10-10,264.609985,265.510010,247.770004,256.880005,256.880005,12815300
2018-10-11,257.529999,262.250000,249.029999,252.229996,252.229996,8167700
2018-10-12,261.000000,261.989990,252.009995,258.779999,258.779999,7201400
2018-10-15,259.059998,263.279999,254.539993,259.589996,259.589996,6200000
2018-10-16,265.700012,277.380005,262.239990,276.589996,276.589996,9526400
2018-10-17,282.399994,282.700012,265.799988,271.779999,271.779999,8655500
2018-10-18,269.290009,271.000000,263.000000,263.910004,263.910004,5421200
2018-10-19,267.390015,269.660004,253.500000,260.000000,260.000000,9375500
2018-10-22,260.679993,261.859985,252.589996,260.950012,260.950012,5600300
2018-10-23,263.869995,297.929993,262.100006,294.140015,294.140015,19027800
2018-10-24,301.049988,304.440002,285.730011,288.500000,288.500000,20058300
2018-10-25,317.220001,321.000000,301.010010,314.859985,314.859985,20840700
2018-10-26,308.250000,339.899994,306.649994,330.899994,330.899994,27425500
2018-10-29,337.470001,347.160004,326.500000,334.850006,334.850006,14486000
2018-10-30,328.390015,337.899994,322.260010,329.899994,329.899994,9126700
2018-10-31,332.540009,342.000000,329.100006,337.320007,337.320007,7624300
2018-11-01,338.260010,347.839996,334.730011,344.279999,344.279999,8000100
2018-11-02,343.739990,349.200012,340.910004,346.410004,346.410004,7808000
2018-11-05,340.500000,343.959991,330.140015,341.399994,341.399994,7831000
2018-11-06,339.070007,348.799988,336.089996,341.059998,341.059998,6762900
2018-11-07,343.339996,351.179993,340.799988,348.160004,348.160004,7374500
2018-11-08,348.500000,357.579987,348.440002,351.399994,351.399994,7090700
2018-11-09,349.000000,354.000000,345.230011,350.510010,350.510010,5094800
